State,City,Place,Distance,Place_desc,Distance_km
puducherry,pondicherry,meeran mosque, 2 km  from city center ,"one of the most revered religious spot by muslims; meeran mosque was built about three hundred and fifty years ago. in fact, it serves as the oldest mosque in pondicherry with a distinct type of architecture.",2.0
puducherry,pondicherry,cluny embroidery centre, 3 km  from city center ,"housed in an 18th century heritage bungalow on the rue romain rolland street, cluny embroidery centre is a wonderful venture started by a local convent to provide employment to underprivileged women. the building was supposedly donated by a french woman to help the poor women in need and is currently run by catholic nuns.",3.0
puducherry,pondicherry,ananda ranga pillai mansion, 3 km  from city center ,"located on the ranga pillai street, opposite the grand bazaar, ananda ranga pillai is one of the most ancient heritage buildings of pondicherry. built in 1735, the house was named after the courtier ananda ranga pillai, of the french governor- joseph francois dupleix.",3.0
puducherry,pondicherry,ganesh garden, 2 km  from city center ,"located on the ramarajda street in pondicherry, ganesh garden is a quaint little botanical garden maintained by a french couple. housed in a residential building, the garden cum nursery has a plethora bushes and shrubberies from medicinal plants to flowering plants. the place has been kept and groomed impressively and is a must visit for gardening enthusiasts.",2.0
puducherry,pondicherry,iskcon pondicherry, 4 km  from city center ,"situated in the krishna nagar locality of pondicherry, iskcon pondicherry is a hindu revered temple dedicated to lord krishna and his consort, colloquially known as ‘ashta devi’. more precisely, the centre is a spiritual society, the name ‘iskcon’ literally translating to international society for krishna consciousness.",4.0
puducherry,pondicherry,capture some pictures in ousteri wetland and national park, 9 km  from city center ,"a national park rich in flora and fauna, ousteri wetland and national park lay 10 km from pondicherry town on the pondicherry-villuppuram road. spread across an area of 3.",9.0
puducherry,pondicherry,sri karneshwar nataraja temple, 3 km  from city center ,"located on the pudhukuppam beach in pondicherry, 12 kms north of auroville, sri karneshwar nataraja temple is the most unusual and yet one of the most beautiful temples present in india. constructed in a pyramid shape, the temple is built to resemble the great pyramids of egypt.",3.0
puducherry,pondicherry,international center for yoga education and research (icyer), 8 km  from city center ,"icyer is a complete traditional ashram which unlike other yoga centres requires a strict decipline, routine and devotion towards a yogic living. icyer follows the gurukul method of teaching till date and the students are required to reside in the ashram living with the guru and his family. the centre believes that total immersion into the yogic living is achieved through the process. the ashram does not offer vacation yoga courses, instead has residential teacher training course of 6 month duration. advanced teachers training course of additional 6 months is offered to the ones who have completed the first 6 months.",8.0
puducherry,pondicherry,mahatma gandhi statue, 3 km  from city center ,"the four-meter high statue of mahatma gandhi is surrounded by eight granite pillars, which were supposedly brought from gingee, a fort some 70 km from pondicherry. the statue is placed in the middle of a garden situated at dumas street and attracts tourists in large number.",3.0
puducherry,pondicherry,auroville ashram, 10 km  from city center ,"conceived as the 'universal town', the auroville ashram is a great epitome of community living. this is where people of different nationalities, culture, religion, traditions all come together to truly live in peace and harmony.",10.0
puducherry,pondicherry,relish a mesmerizing sunrise, 41 out of 48  places to visit in Pondicherry ,"one thing that you must definitely witness while on a trip to pondicherry is the very mesmerising sunrise. the lovely beaches, or the gorgeous colonies, or even the promenades, are all amazing locations to experience a wonderful orange sun rise above the horizon. this is one of the top things to do in pondicherry and is sure to stay with you for a long long time.",41.0
puducherry,pondicherry,yanam beach, 595 km  from city center ,"situated in the town of yanam, the yanam beach is an excellent getaway for those looking to spend quiet time away from the crowds. the vast expanse of the waters beckons tranquil boat rides, as well as a walk along the ferry road,  can be both exciting and calming. yanam beach also called the rajiv gandhi beach, is one of the most famous attractions of the town. one can sit back on cement chairs enjoying the quiet views of the beach side or enjoy a perfect picnic with family on a pleasant day.",595.0
puducherry,pondicherry,white town, 3 km  from city center ,"known as the french colony of pondicherry, white town is a residential area in town which boasts of an interwoven culture of the tamils and the primal french families. flaunting cobblestone streets and mustard yellow houses, the colony retains the old world charm, daintiness and also the architecture of ancient french quarters. most of these have been converted into heritage hotels, restaurants, quirky cafes and art galleries. the buildings are mostly painted in pale yellow colour or shades of it and the well paved clean pathways are lined with shady trees.",3.0
puducherry,pondicherry,vedapureeswarar temple, 133 km  from city center ,"the sri vedapureeswarar temple is an ancient temple located in the southern union territory of pondicherry also known as puducherry. the temple is constructed in dravidian style architecture and houses the all-mighty lord shiva. the vedapureeswarar temple was demolished by the french in the year 1748, and it is also believed to have been demolished by the muslims earlier. with the help of the funds of the people, the temple was re-established by the people. the temple has a seven-tiered entrance to the temple.",133.0
puducherry,pondicherry,karaikal beach, 111 km  from city center ,"located in pondicherry’s karaikal city, karaikal beach is a popular one owing to its breathtaking views. it is a natural beach that lies on the bay of bengal and attracts large crowds throughout the year since it is an excellent spot for a dip and for evening walks. an ideal place to witness the sunset, there is a rocky path here to walk on, fishing boats to watch and plenty of opportunities for nature photography. besides food joints and shops around the beach, there is also a park to visit.",111.0
puducherry,pondicherry,quiet beach, 5 km  from city center ,"as the name suggests, quiet beach in pondicherry is a calm and serene location that is a hidden gem for most. with clear water, golden sand and big waves, it is perfect for a relaxing day of picnicking, sunbathing, collecting pretty shells, building sandcastles and more.",5.0
puducherry,pondicherry,mahe beach, 3 km  from city center ,"located close to kannur, mahe beach in pondicherry is a quiet and clean beach that also forms kerala's northern coast. lined with tall palm trees, the beach is a must-visit during the early hours of the morning to witness the gorgeous sunrise while walking on the white sand along the blue waters. not only is it ideal for swimming but also for beach sports like volleyball; for those looking to relax, the view of the sunset here is absolutely spectacular. there are restaurants around that serve delicious food and shops that sell souvenirs.",3.0
puducherry,pondicherry,reppo beach, 3 km  from city center ,"a relatively unknown beach located in pondicherry’s vaithikuppam area, reppo beach is a peaceful location that is generally free of massive crowds. known for its spectacular views of the sunset, it is ideal for swimming and surfing. there are quite a few fisherman’s boats around and once in a while a cargo ship passes by as well. it is the place to visit if you are looking for some peaceful time away from the crowds and want to enjoy nature.",3.0
madhya pradesh,khajuraho,light and sound show, 1 km  from city center ,"after the visit to the temple complex is over, a light and sound show is carried out which is narrated by veteran actor mr. amitabh bachhan.",1.0
madhya pradesh,khajuraho,dulhadev temple, 1 km  from city center ,"built in the year 1130 the dulhadev temple enshrines a beautiful shivalingam and striking sculptures of apsaras and other ornamented figures. the temple also has a stunning sculpture of lord shiva with his wife parvati, the intricate details of the carvings adding to the charm of the overall architecture.",1.0
madhya pradesh,khajuraho,kandariya mahadev temple, 2 km  from city center ,"built around 1025-1050 ad, this temple exudes grandeur and finesse in its architecture. with beautiful frescos of women in various postures adorning the walls of this temple, this place is one of the most stunning tourists sites in khajuraho.",2.0
madhya pradesh,khajuraho,lakshman temple, 2 km  from city center ,"the oldest and most aesthetically pleasing temples among the western group of temples, the lakshman temple is named after the ruler of that time. the trinity of brahma, vishnu and shiva is depicted in the horizontal beam over the entrance of the temple.",2.0
madhya pradesh,khajuraho,parsvanath temple, 2 km  from city center ,"this temple is the largest among the eastern group of temples and has intricately detailed carvings on its walls. the most intriguing side of the architecture of this temple is the aesthetic blend of hindu, muslim and buddhist styles.",2.0
madhya pradesh,khajuraho,vishwanath temple, 2 km  from city center ,"dedicated to lord shiva, this temple is one among the western group of temples. it has a beautiful marble shivalinga as the main deity. an imposing image of brahma is also housed in this temple. a massive sculpture of nandi the bull is also enshrined alongside the shivalingam.",2.0
madhya pradesh,khajuraho,lakshmi temple, 2 km  from city center ,"dedicated to goddess lakshmi, the hindu deity of wealth. this temple houses some moderate shrines and is comparatively smaller than the other temples in khajuraho.",2.0
madhya pradesh,khajuraho,javari temple, 2 km  from city center ,"javari temple is another temple from the khajuraho group of monuments enshrined by lord vishnu although the idol of the presiding deity is broken and headless. the temple is rather tiny and has been built in shikhara style of architecture. the temple also has sculptures of navagrahas, shiva, vishnu and brahma at the entrance gate of the sanctum.",2.0
madhya pradesh,khajuraho,devi jagdamba temple, 3 km  from city center ,"initially built as a vishnu temple, the devi jagdamba temple has beautifully carved erotic figures. the garba griha houses a stunning sculpture of the goddess of the universe. the temple also houses a beautiful image of goddess parvati, with the image of mithuna.",3.0
madhya pradesh,khajuraho,state museum of tribal and folk art, 3 km  from city center ,"housed within the chandela cultural complex in khajuraho, madhya pradesh, state museum of tribal and folk art well maintained tiny repository of old scriptures of tribal art and culture in the form of masks, terracotta sculptures, folk- paintings, bamboo articles and other collectibles. the museum also has a beautiful garden surrounding it.",3.0
madhya pradesh,khajuraho,archaeological museum khajuraho, 3 km  from city center ,"archaeological museum is located near the western group of temples in khajuraho and was originally known as the jardine museum. housing over 2000 items, the museum has relics from the 10th and 12th century temples of hinduism and jainism.",3.0
madhya pradesh,khajuraho,raneh falls, 0 km  from city center ,"located at a distance of 20 kms from khajuraho, raneh falls are mesmerising natural waterfalls over river ken. the river has carved a deep canyon in the valley made of crystalline granite in shares of red, pink and grey. there are several small and big waterfalls emerging from this gorge, collectively called as raneh falls.",0.0
madhya pradesh,khajuraho,adinath temple, 2 km  from city center ,"this is a jain temple dedicated to the jain god tirthankar. with exquisite sculpted figures, including yakshis this is one of the most beautiful jain temples in madhya pradesh.",2.0
madhya pradesh,khajuraho,khajuraho dance festival, 2 km  from city center ,"every year, khajuraho dance festival is  organized in february or march.  this festival attracts loads of travellers including the international ones. they attend the festival enthusiastically and they get the opportunity to explore the rich indian culture and its marvelous history.(br) this festival is organized by the madhya pradesh kala parishad. many world famous artists come and perform here.  the ambience around is full of art and passion and the background of the magnificent khajuraho temples enhances the beauty of the festival.",2.0
madhya pradesh,khajuraho,chaturbhuj temple, 1 km  from city center ,"chaturbhuj temple is situated in the jatakari village of khajuraho and is also known as jatakari temple. enshrined by lord vishnu, the temple is free of any erotic carvings or sculptures and hence is considered a unique temple in the region. rectangular in shape, the shrine built on a raised platform and is visited by a large number of pilgrim all through the year.",1.0
madhya pradesh,khajuraho,varaha temple, 2 km  from city center ,"varaha temple is built in the western group of temple complex in khajuraho, madhya pradesh and is enshrine by a massive idol of varaha - the incarnation of lord vishnu in the form of a boar. made in sandstone, the sculpture has numerous carvings all over its body and depict goddess saraswati at one certain place on the body.",2.0
madhya pradesh,khajuraho,matangeshwar temple, 2 km  from city center ,"built among the western group of temple complex in khajuraho, madhya pradesh, matangeshwar temple is a rather plainly designed temple dedicated to lord shiva. made of sandstone, the temple houses a large shivalinga which has nagari and persian inscriptions carved on it. the temple is a popular site among shiva devotees.",2.0
madhya pradesh,khajuraho,nandi temple, 2 km  from city center ,"nandi temple is a part of khajuraho group of monuments which is a world heritage site in khajuraho, madhya pradesh. the temple is dedicated to nandi- the bull which is the mount of lord shiva. as is customary, the temple is built across the shrine of lord shiva called vishvanatha temple.",2.0
madhya pradesh,khajuraho,vaman temple, 3 km  from city center ,vamana temple in khajuraho is dedicated to vamana- the fifth incarnation of lord vishnu and is one among the khajuraho group of monuments. the exterior walls of the shrine have erotic carvings of nymphs and celestial bodies and different women in several different postures. the beautiful site is a popular tourist spot and is thronged by tourists all through the year.,3.0
madhya pradesh,khajuraho,chitragupta temple, 3 km  from city center ,chitragupta temple in khajuraho is enshrined by sun god- surya and dates back to the 11th century. the presiding deities is riding a chariot with seven horses. the exterior walls of the shrine have carvings of several gods and erotic couples. the site is popular among tourists and devotees alike.,3.0
madhya pradesh,khajuraho,shantinath temple, 2 km  from city center ,"shantinatha temple is a jain temple counted as a world heritage site along the khajuraho group of monuments. the temple is presided by shantinatha; however, it has idols of other jain tirthankaras as well, including a colossal statue of adinatha. the temple has been renovated but still bears inscriptions from the bygone era.",2.0
madhya pradesh,khajuraho,beni sagar dam, 6 km  from city center ,"located on the outskirts of khajuraho city, beni sagar dam has been built over river khudar and is a masterpiece of magnificence. it also facilitates recreation activities like boasting, fishing, angling etc. and is popular for day picnic and leisure. the damalso offers spectacular views of the sunrise and sunset.",6.0
madhya pradesh,khajuraho,dhubela museum, 49 km  from city center ,"also known as maharaja chhatrasal museum, dhubela museum is located in dhubela, 62 kms from khajuraho. boasting of a serene setting on the banks of dhubela lake and housed in the premises of maharaja chhatrasal palace, the museum displays an extensive collection of sculptures, arms, armoury, miniature paintings etc., spread over 8 galleries.",49.0
madhya pradesh,khajuraho,jain museum, 3 km  from city center ,"located in the jain temples complex, jain museum is a circular building housing huge statues and sculptures of jain tirthankaras and yakshis. the entrance gate is flanked by the mythical creatures - makara torana.",3.0
madhya pradesh,khajuraho,chausath yogini temple, 2 km  from city center ,"the chausath yogini temple is the oldest temple in the temple-town of khajuraho. this late 9th century devi temple is now in ruins, but the shrine cells and other remnants remain at the site. there are no sculptures found here. a monument of national importance, remnants of this temple have been found in other places around the region.",2.0
tamil nadu,chennai,explore the marina beach, 4 km  from city center ,"marina beach is a natural urban beach along the bay of bengal. the beach is stretched out to a distance of 13 kilometres making it the longest natural urban beach in the country, second largest in the world and also the most crowded beach in india with almost 30,000 visitors a day.",4.0
tamil nadu,chennai,"government museum, chennai", 1 km  from city center ,"government museum was established in 1851 and is the second oldest museum in the country after the indian museum in kolkata. situated in egmore suburb of chennai, it is built in the indo-sarcenic style and houses a rich collection of the works of raja ravi varma.",1.0
tamil nadu,chennai,mgr film city, 8 km  from city center ,"having been established in the year 1994, a considerably new structure, the mgr film city is managed by the government of tamil nadu in loving memory of mg ramachandran who was not only a crowd-pleasing tamil actor but also a longtime cm of tamil nadu.",8.0
tamil nadu,chennai,breezy beach, 9 km  from city center ,"breezy beach lays in the remote and serene neighbourhood of valmiki nagar in chennai. being smaller and less polluted, its a perfect getaway for anyone looking for a peaceful evening.",9.0
tamil nadu,chennai,marundeeswarar temple, 8 km  from city center ,"the magnificent marundeeswarar temple, in tiruvanmiyur, near chennai has the temple deity shiva in the form of marundeeswar or aushadeeswarar, the god of medicines. a fine specimen of dravidian architecture, this temple is a must visit for anyone visiting chennai or nearby cities.",8.0
tamil nadu,chennai,arignar anna zoological park, 27 km  from city center ,"arignar anna zoological park aka vandalur zoo, is a zoological garden located in vandalur is spread over an area of 602 hectares, including a rescue and rehabilitation centre. the zoo shelters about 3000 species of flora and fauna across twelve hundred acres including 46 endangered species, in its 160 enclosures.",27.0
tamil nadu,chennai,valluvar kottam, 1 km  from city center ,"valluvar kottam is an auditorium, with a gigantic capacity to hold 4,000 people, built in remembrance of the poet-saint, tiruvalluvar. verses of the poet tiruvalluvar are embellished on the pillars in and around the auditorium.",1.0
tamil nadu,chennai,ashtalakshmi temple, 8 km  from city center ,"the chennai ashtalakshmi temple is situated in besant nagar, on the shores of the bay of bengal. that stretch of beach is known as the elliot's beach. the temple was constructed on the express wishes of sri mahaa periyavaal of kanchi mutt, sri chandrasekara saraswati swamigal. (br) the temple's architecture is unique, with the deities installed in four levels.",8.0
tamil nadu,chennai,read some books at connemara library, 1 km  from city center ,the connemara public library at chennai holds the prestigious status of being amongst one of the four deposit libraries in india which entitles them to a copy of every publication in india.,1.0
tamil nadu,chennai,trek the koli hills, 279 km  from city center ,"with an ominous name which means ‘mountain of death’, kolli hills or kolli malai are a mountain range located in the namakkal district of tamil nadu. it is relatively untouched by commercial tourism and therefore has retained most of its natural magnificence.",279.0
tamil nadu,chennai,elliot's beach, 7 km  from city center ,"a beach showcasing beauty, calmness, serenity and everything that signifies nature at its best, the elliot's beach cannot be forgotten by anyone who has visited it once.",7.0
tamil nadu,chennai,enjoy the games at vgp golden beach, 16 km  from city center ,"considered as one of the cleanest and beautiful beaches in chennai, vgp golden beach is one of the most sought after destinations in the area by family and friends.",16.0
tamil nadu,chennai,iskcon (hare rama hare krishna) temple, 17 km  from city center ,"iskcon temple chennai is a  temple devoted to lord krishna. it is located on the east coast road at southern chennai. built on 1.5 acres of land, iskcon, chennai is the biggest radha krishna temple in tamil nadu. it was officially inaugurated on 26 april 2012. the deities revered in the temple include those of radha krishna and lord's family, including sri sri nitai gauranga.",17.0
tamil nadu,chennai,vivekananda house, 4 km  from city center ,"vivekananda house also popularly known as the ice house, is a shrine and pilgrimage centre for the admirers and followers of swami vivekananda. it is in this house that swami vivekananda stayed for six weeks in 1900.",4.0
tamil nadu,chennai,akkarai beach, 18 km  from city center ,"the sandy coastline begins from ennore in the north extending south into uthandi, leaving one to choose from more than just marina and elliot's beach.",18.0
tamil nadu,chennai,dakshinachitra museum, 2 km  from city center ,"dakshinachitra museum is one of the living-history museums in india which stores in itself great works of architecture, crafts, performing arts, and lifestyles that belong to south india.",2.0
tamil nadu,chennai,santhome cathedral basilica, 4 km  from city center ,"santhome cathedral is a historical and ancient pilgrim centre, which was built during the 14th to the 15th century a d by the then reigning, portuguese.",4.0
tamil nadu,chennai,madras war cemetery, 8 km  from city center ,the madras war cemetery houses the last remains of around 855 martyrs who laid down their precious lives at the battlefronts in the devastating second world war and also a memorial stone for 1000 more who died fighting in the great war before that.,8.0
tamil nadu,chennai,madras crocodile bank trust, 35 km  from city center ,"the madras crocodile bank is not to be confused with a zoo. yes, you can certainly take a look at the reptiles in captivity. but unlike a zoo, this has a much more in-depth operation through ex-situ and in-situ conservation. right now, it is home to around 17 croc subspecies and some other reptiles like frogs, lizards, snakes and turtles as well.",35.0
tamil nadu,chennai,be amazed at mgm dizzee world, 26 km  from city center ,"mgm dizzee world is one of the largest and oldest amusement parks in india. it brought jurong’s bird show from singapore to india way back in 1999. there are extreme level thrill rides, but nice and enjoyable ones are there too. the park has something for every age group.",26.0
tamil nadu,chennai,shirdi sai baba temple, 3 km  from city center ,shirdi sai baba temple in chennai is among the most visited and respected places of worship in tamil nadu as well as india. sai baba is recognised as one of those spiritual reformers who does not have ties to any particular god of any religion but is a figure of worship himself. so there are no religious restrictions imposed upon those who visit the temple.,3.0
tamil nadu,chennai,nettukuppam, 21 km  from city center ,nettukuppam is the northernmost tip of chennai and has a beach which is yet not tarnished by encroaching crowds. it is a solitary retreat for those who seek to enjoy the raging sea up close but in a peaceful environment. the place is an ideal place to spend quiet time as it is still not on the radar of the maddening tourist crowd.,21.0
tamil nadu,chennai,prakasam salai, 6 km  from city center ,"built in 1795,a milestone in the history of chennai, located opposite parry's corner, prakasam salai is an impressive stylish building in indo-saracenic style with eminence in red bricks.",6.0
tamil nadu,chennai,thousand lights mosque, 1 km  from city center ,"the thousand lights mosque of royapettah, chennai is among the most esteemed mosques of the city as well as the state of tamil nadu. built in the early 19th century by the wallajah family of the carnatic rulers, it is till date a popular gathering place for the daily prayers and festive occasions like muharram.",1.0
tamil nadu,chennai,fort st. george, 5 km  from city center ,"the origin of the great white structure of fort st. george is inextricable from the history of the city of chennai itself. popularly called the 'white town', the sole purpose of establishing the massive fort compound was to build a british stronghold in the coromandel coast and the rest of south india.",5.0
tamil nadu,chennai,chennai sangamam, 5 km  from city center ,"the chennai sangamam, a large open tamil festival, also coincides with the pongal season. it is organized in various open locations like beaches, parks etc and showcase traditional folk events, martial arts and classical dance, to name a few. in addition the festival brings together the best that south indian cuisine has to offer – from tasty panirayams to the traditional pongal.",5.0
tamil nadu,chennai,buy fishes at the royapuram fishing harbour, 9 km  from city center ,"under the administration of chennai port trust, royapuram fishing harbour is one of the most popular fishing grounds in chennai. located in a region which is famous for seafood, this harbour surely has its name among the busiest fishing hubs of tamil nadu.",9.0
tamil nadu,chennai,santhome church, 4 km  from city center ,"san thome church is among the only three in the world that house the tombs of one of christ's original disciples. if you visit this church, you will be stepping into a historical tale that will take you back a couple of centuries. the museum inside displays souvenirs of the great saint and his legend.",4.0
tamil nadu,chennai,kapaleeswarar temple, 4 km  from city center ,"kapaleeswarar temple is a holy shrine of shiva in mylapore, chennai. a visit to this temple will be an experience enriched with a glimpse into tamil religious culture and the lovely architectural combination of the two styles – dravidian and vijaynagari, complete with towering gopurams.",4.0
tamil nadu,chennai,mylapore, 3 km  from city center ,"mylapore is one of the oldest and culturally enriched neighbourhoods, located in the southern part of chennai. it is very much traditionalist to its core and boasts many temples, churches and historical monuments.",3.0
tamil nadu,chennai,roam the express avenue, 2 km  from city center ,"express avenue is a mall in royapettah of chennai owned, developed and promoted by express infrastructure. the premise includes commercial and hospitality sectors as well. e hotel is the name of the 4-star boutique luxury-lodging, which caters to the guests all year long with its 44 room capacity. but the mall is the main attraction of the place.",2.0
tamil nadu,chennai,vadapalani murugan temple, 4 km  from city center ,"vadapalani murugan temple is one of the most popular temples dedicated to lord murugan. located in vadapalani, chennai, the temple is known for helping devotees finding solutions to life's problems. it is also believed that worshipping lord murugan here is as pious as praying to him at the original palani temple.",4.0
tamil nadu,chennai,shopping in t nagar, 3 km  from city center ,"t nagar is one of the busiest neighbourhoods in chennai, and also the most crowded one. it serves as a commercial and economic hub, as well as a residential area. it does not have many attractions, but you will come across a plethora of retail shops lined up on every main road and arterial streets.",3.0
tamil nadu,chennai,parthasarathy temple, 3 km  from city center ,"parthasarathy temple, located in triplicane area of chennai, is a structure more than 1000 years old, standing in the heart of the bustling city. dedicated to different avatars of lord vishnu within the many shrines of the temple, it attracts thousands of vaishanvite followers from all across the country.",3.0
tamil nadu,chennai,parasailing in chennai, 19 km  from city center ,"if you think the city of chennai is all about glitzy temples and serene beaches, look deeper cause the uber city is home to one of the most adventurous sports of all times - parasailing. unlike several other water sports, this one is not for the faint hearted. it allows you to sail above the water with a safely harnessed parachute tied to your back.",19.0
tamil nadu,chennai,scuba diving in chennai, 6 km  from city center ,chennai could get quite hot in the summer and beating the heat would be the top priority in summers. then why not dive into the bay of bengal somewhere off the coast of chennai. discovering a totally different world under the surface of the sea and cooling yourself at the same time is the best deal about chennai.,6.0
tamil nadu,chennai,camping in chennai, 9 km  from city center ,"surrounded by a number of hills around it, chennai neighbours to some amazing places that offer nearness to nature. every soul in any metro city craves for something new every now and then, and chennai doesn’t lack in fulfilling this need for its people. there are a number of places to camp in chennai for a twist out of the normal. one can never run out of places to get closer to something natural.",9.0
tamil nadu,chennai,paragliding in chennai, 11 km  from city center ,"it is commonly misunderstood about chennai that it is only about glitzy temples, serene beaches and conservative people, but that's not completely true, look deeper. the people here have the provision of getting in the sky and sailing smoothly over the hills like eagles.",11.0
tamil nadu,chennai,surfing in chennai, 29 km  from city center ,getting in the water and riding the waves on a surfboard is not a thing that everyone can do. but some hours of practice can make that joy possible. there are a number of surfing schools that offer courses and help you tame the waves under your feet.,29.0
tamil nadu,chennai,paintball in chennai, 10 km  from city center ,"if you are into playing combat games but all the games lack the touch of reality and the feeling of getting hit, then paintball is for you. chennai has a bunch of such arenas to help you get in action. get outdoors, get some paintball guns in your hand and challenge your friends to some real action. keep your skills on the check and your friends in sight; you never know when you might get hit.",10.0
tamil nadu,chennai,rock climbing in chennai, 16 km  from city center ,"the fitness aspect for the people of chennai has been taken up by rock climbing and bouldering, rather than regular gyms. climbing is the coolest way of being fit as well as getting a regular dose of adrenaline. but rock climbing doesn’t mean you put yourself under the raging sun all the time! you can opt for indoor climbing too and get into the daily chores after the session.",16.0
tamil nadu,chennai,jungle safari in chennai, 3 km  from city center ,the tropical climate of chennai has blessed the land with ample amount of lush greenery and equally rich wildlife. safari in chennai’s wildlife parks award the visitors with some amazing experiences around our neighbours of nature. interacting with the wild animals makes us realize the true nature of wilderness. there’s a lot to learn and understand from animals.,3.0
tamil nadu,chennai,boating in chennai, 6 km  from city center ,"having the advantage of being a coastal city, chennai also has a number of lakes and thus opening up the waters for water sports. boating in chennai was not so well flourished earlier, but recently the bay of chennai has been witnessing a decent increase in the number of yachts and boats. sailing has a charm that can fit any occasion, let that be a romantic boathouse date or a casual hangout with friends on a yacht, an exciting racing event of sails and rowboats or just a fun race of pedal boats between family and friends. boating is for everyone.",6.0
tamil nadu,chennai,anjaneyar temple nanganallur, 10 km  from city center ,"viswaroopa adhivyadhihara sri bhaktha anjaneyaswami temple is located around 10 kilometres away from the heart of the city, in a locality called nanganallur. commonly called the anjaneya temple in short, it gets its name from its principal deity, lord hanuman. the most important aspect of the temple is its 32 feet idol.",10.0
tamil nadu,chennai,go fishing in chennai, 9 km  from city center ,fishing was a way of survival until it got challenging and adventurous. fishing has become a common way of bonding with friends and family. the sport seems easy but takes a lot of dedication and patience to lure and catch the biggest of all the fishes. as the aquatic adventure has gained popularity many sport fishing facilities have opened up and are busy providing the experiences.,9.0
tamil nadu,chennai,sivananda yoga vedanta centers & ashram, 10 km  from city center ,"the international sivananda yoga vedanta centers is named after swami sivananda, one of the most influential spiritual teachers of the 20th century and founded by his disciple swami vishnudevananda. the non-profit organisation has centres in thiruvananthapuram, chennai, madurai and delhi and all over the world. the organisation has dedicated programmes like the sadhana intensive, kids camp, work/study programme, prison project and teachers training courses and also yoga vacations.",10.0
tamil nadu,chennai,thiruvanmiyur beach, 10 km  from city center ,"located in the neighbourhood of thiruvanmiyur in chennai, thiruvanmiyur beach is one of the isolated and peaceful beaches of the city. popular for beautiful sunrise and sunset views, the beach is mostly frequented by nature lovers, romantic couples or solitude seekers.",10.0
tamil nadu,chennai,neelankarai beach, 12 km  from city center ,neelankarai beach is an untouched gorgeous beach located in the small locality of neelankarai in south chennai. the highlight of the beach are the innumerous turtles that can be found on the shores. people usually visit it to watch the turtles or to walk along the lengthy coastline touching the beautiful blue waters of the sea.,12.0
tamil nadu,chennai,santhome beach, 4 km  from city center ,"the southern part of the marina beach is known as the santhome beach. with immaculate clean sands, azure blue waters and gorgeous sweeping views of the sea, santhome beach is a one among the most visited beaches of the sea. you can also find several eateries and sports activities at the beach.",4.0
tamil nadu,chennai,pebble beach, 17 km  from city center ,"situated at a distance of 1 km from thiruvanmiyur in chennai, pebble beach is a comparatively smaller beach. due to its location, it receives relatively lesser number of visitors. however, the beach offers extremely peaceful and serene and you can visit it to spend some time in solitude.",17.0
tamil nadu,chennai,palavakkam beach, 11 km  from city center ,"located at the southern tip of chennai in palavakkam, palavakkam beach is a wonderful beach boasting of mesmerising sunrise and sunset views. the highlight of the beach is an age-old temple situated on the beach. the beach has vast expanse of shores, with stunning views of the horizon merging in the sea.",11.0
tamil nadu,chennai,kasimedu beach, 10 km  from city center ,"kaismedu beach is a comparatively lesser known beach of chennai. it is not just a recreation spot but also an important fishing harbour. with vast expanse of the blue sea and brown sandy shores, you can also find several fishermen at work with their huge fishing nets and boats. besides, the fisherfolks also sell their spoils at the shores; you can buy fresh fish here. volleyball is another popular activity at the beach.",10.0
jammu & kashmir,vaishno devi,vaishno devi temple, 1 km  from city center ,"located in trikuta hills, 13 kms from katra, vaishno devi mandir is a hindu temple dedicated to vaishno devi - a manifestation of goddess durga. this renowned shrine is one of the holiest pilgrimages for hindus. it is believed that during pooja and aarti, goddesses herself arrives at the holy cave.",1.0
jammu & kashmir,vaishno devi,katra, 5 km  from city center ,"katra is a small town in the foothills of trikuta mountains which is famous as the base camp for visiting the shrine of vaishno devi. located in the uddhampur district of jammu and kashmir, the prime attraction of katra is vaishno devi temple.",5.0
jammu & kashmir,vaishno devi,ardh kuwari cave, 2 km  from city center ,"before making the vaishno devi bhavan her abode, mata vaishnodevi is believed to have meditated in the ardhkuwari gufa for 9 months before beheading the demon bhairavnath. located halfway to vaishno devi temple, ardh kuwari acts as a stopover for the pilgrims on their journey up to the bhavan.",2.0
jammu & kashmir,vaishno devi,vaishno devi yatra, 0 km  from city center ,"vaishno devi yatra from katra is one of the most popular pilgrimages in the world. the starting point of the 13km yatra is banganga, 1.5-2 km from katra main city. it concludes at the holy cave (also known as bhawan) with the darshan of maa vaishno devi. the trek can be undertaken on a pony, pithoo (coolies), palki (palanquin), or foot. helicopter service and ropeway also operate regularly.",0.0
jammu & kashmir,vaishno devi,bhairavnath temple, 0 km  from city center ,no journey to katra is complete without having visited bhairavnath mandir. the cave temple of bhairavnath is dedicated to kaal bhairav and is constructed at the site where he is believed to have breathed his last. a steep 3km journey from the bhawan leads you to bhairavnath temple.,0.0
jammu & kashmir,vaishno devi,vaishno devi by helicopter, 4 km  from city center ,"helicopter for vaishno devi yatra is available from katra to sanjhichatt. 5-6 passengers can be accommodated at a time while the flight takes approximate 8 minutes. the katra helipad is at udhampur road, 2km from bus stand katra. from the sanjhichatt helipad, it takes a 30-minute hike to reach the vaishno devi bhawan. ponies, palkis and porter services are also available.",4.0
